City,State,Geo.ID,Percent of GDP based on water intensive industries_2015,Percentage of workforce in Farming Fishing and Forestry 2015,Existence of drought management plans_2015,Existence of water management plan_2015,Baseline water stress_2014,Readiness to accept adaptation investment_2015,Tax incentives for renewable energy_2015,Total number of federal public corruption convictions by district_2015,Civic engagement_2010,General innovation capabilities_2015,Estimated percent of adults who think global warming is already harming people in the US now or within 10 years_2014,Percent of population with less than 12th grade education_2015,Population density_2015,Water quality_2015,City debt_2010,Percent of population in floodzone_2015,Percent of buildings in floodzone_2015,Percent of cars in floodzone_2015,Percent of area that is impervious surface_2011,Number of acute care hospital beds available per 1000 residents_2015,Percent of population that is 65 years old or older living alone_2015,Percent of population that is 5 years old or younger_2015,Percent of population with health insurance_2015,Percent of buildings built before 1999_2015,Percent of population residing in the mobile homes_2015,Percent of population spending over 50 percent of income on rent_2015,Percent of land covered by tree canopy_2011,Percent of houses with heating_2015,Percent of population with a disability_2015,Percent of population in poverty_2015,Percent of buildings built before 1979_2015,Outdoor workers_2015,Percent of households without access to a vehicle_2015,Percent of population in 1ft sea level rise zone_2015,Percent of population in 3ft sea level rise zone_2015,Average economic impact of 1ft sea level rise_2015,Average economic impact of 3ft sea level rise_2015,,Latitutde,Longitude,County,Region, City Area_KM,2010 Population,2011 Population,2012 Population,2013 Population,2014 Population,2015 Population,Median Income
Omaha,NE,1600000US3137000,12.11372483,0.329177057,Yes,Yes,2.643081608,19,2,3,0.560973846,0.000152514,41,12,1313.545495,0,1645.95,5.45,5.32,11.1238861,39.76158396,6.092711018,9.6072834,7.3,87.4,92.82,1.2,24.5,11.36791637,0.997,10.7,13.0861398,70.8,11.93,8.6,#N/A,#N/A,,,,41.2524,-95.998,Douglas,Northern Rockies & Plains,334.9971522,407334,409082,412689,422499,435454,440034,49896
Ontario,CA,1600000US0653896,11.19193384,0.408976042,No,No,3.032913698,0,0,53,0.498348465,0.000103591,47,29.4,1303.241114,0,1321.73,4.73,4.62,5.358823955,38.57876194,1.587226099,5.8258575,7,79.6,92.32,4.4,30.1,2.745957402,0.986,8.9,14.3261214,58.1,18.95,4.8,#N/A,#N/A,,,,34.0633,-117.6509,San Bernardino,West,129.0766522,165215,165120,165260,165702,166892,168218,54114
Orange,CA,1600000US0653980,10.45625624,0.753894904,Yes,No,5,0,0,53,0.63409369,0.000914935,45,15.8,2143.689546,0,819.36,19.41,18.93,2.337465246,50.0283519,9.215732572,7.0759138,6.2,85.3,91.44,2.7,29.5,4.51360282,0.949,7.5,6.3753515,68.7,11.61,3.8,#N/A,#N/A,,,,33.7879,-117.8531,Orange,West,65.1964741,134569,135582,136891,137999,138980,139761,78513
Orlando,FL,1600000US1253000,5.185322909,0.298907442,Yes,Yes,5,0,0,27,0.970426406,0.000150524,47,10.5,876.2776792,0,1661.81,6.55,6.42,19.01507752,24.59437152,9.507747198,7.5418332,7.2,78.5,73.17,0.1,27.5,25.61733725,0.992,10.1,17.8874135,37.7,10.49,8.7,#N/A,#N/A,,,,28.5383,-81.3792,Orange,Southeast,292.9870361,233707,236532,240185,244931,250224,256738,42318
Overland Park,KS,1600000US2053775,11.83588339,0.162492831,No,Yes,2.810303512,21,0,2,0.87202881,0.001076191,40,3.4,939.7928047,0,696.41,1.75,2.5,4.253475741,26.58297959,3.576466958,10.261927,6.3,93.7,80.76,0.1,17.6,13.53808705,0.996,9.1,4.2028598,39.9,5.55,3.9,#N/A,#N/A,,,,38.9822,-94.6708,Johnson,South,193.0893694,170515,172389,174503,176520,178945,181464,72463
Oxnard,CA,1600000US0654652,30.81294069,0.126986728,No,No,2.643081608,0,1,53,0.411183437,0.000679088,44,34.4,2901.167228,1,1811.08,12.42,12,1.267921178,50.298902,1.302243298,5.5121519,8.2,78.3,85.02,4.9,29.1,2.934042336,0.823,10.1,15.0290269,63.3,27.45,4.7,0.558736087,0.631465147,0.028826036,0.030782876,,34.1975,-119.1771,Ventura,West,70.14245785,192520,194972,197456,199574,201744,203495,60621
Palm Bay,FL,1600000US1254000,19.78555533,12.84601891,Yes,Yes,5,0,0,27,0.448008878,0.000812874,40,12.4,600.6006867,1,1126.79,9.34,10.1,12.64685738,14.65073688,1.444702125,10.8220301,5.8,84.2,72.58,4.4,30.5,27.96582709,0.988,13.5,17.0593057,17.2,12.11,4.4,1.075922899,1.423791963,0.010787356,0.012768725,,28.0345,-80.5887,Brevard,Southeast,175.1779549,100644,101815,102814,103602,104342,105212,43163
Palmdale,CA,1600000US0655156,10.45625624,0.209804881,No,Yes,2.71995682,0,0,53,0.472856784,0.000361114,48,25.8,572.3372179,0,1340.99,7.44,7.14,4.420390141,11.39682119,1.002093546,5.0608614,8.8,84,77.85,4,37.8,3.406043891,0.994,10.9,17.2752809,20.6,15.51,6.2,#N/A,#N/A,,,,34.5794,-118.1165,Los Angeles,West,273.7407163,146184,149001,151841,153885,155810,156672,52392
Pasadena (CA),CA,1600000US0656000,10.45625624,0.361136796,No,Yes,2.473988101,0,0,53,0.474780682,0.000361114,48,12.6,2344.222065,0,4796.37,20.98,23.79,0.007412687,33.75977041,4.467508703,10.7451958,5.8,86.4,90.57,0.3,24.9,11.62203329,0.98,10.3,6.0235441,75.8,9.1,10.4,#N/A,#N/A,,,,34.1478,-118.1445,Los Angeles,South,59.67821995,136449,136807,137316,138004,139065,139899,72402
Pasadena (TX),TX,1600000US4856000,32.85981874,0.188991585,No,Yes,5,0,0,11,0.388154259,0.000328026,47,28.5,1315.602556,13,1042.3,18.27,18.78,18.96682391,38.46175953,3.410962127,6.6225434,8.4,71.1,85.75,3.9,20.9,20.88451635,0.995,11.3,17.3095663,62.3,21.84,6.1,2.765362398,3.672338535,0.008761102,0.010720021,,29.6911,-95.2091,Harris,West,116.3238847,147077,148479,149506,150785,152171,153036,48004
Paterson,NJ,1600000US3457000,0.030011761,0.203267448,No,Yes,3.375596259,14,1,23,0.489908101,0.000173374,47,28.6,6585.065778,5,621.36,29.61,28.11,21.75729007,60.6168717,4.428963106,8.3695425,8,77.2,94.5,0.2,37.5,13.14021006,0.998,8.5,37.7489137,85.8,25.04,31.5,#N/A,#N/A,,,,40.9168,-74.1718,Passaic,Northeast,22.32126526,145836,145915,145655,145920,146341,146987,32915
Pembroke Pines,FL,1600000US1255775,6.293377526,0.107699642,No,No,3.795811944,19,0,42,0.728699705,0.000232211,49,8.8,1731.105867,11,1589.59,100,100,19.45785634,28.85734957,2.792108134,13.1473536,5.6,85.7,86.36,1.2,30.4,17.06394403,0.978,9.8,10.1974328,25.5,6.28,7.2,#N/A,#N/A,,,,26.0078,-80.2963,Broward,Southeast,93.72217097,152366,153533,155578,157324,159920,162243,61279
Peoria (AZ),AZ,1600000US0454050,11.40665915,0.03434197,No,No,3.813670521,20,0,18,0.632207635,0.000429552,44,7.6,355.9931393,11,1261.98,6.74,7.14,4.396714317,9.621911549,0.354384593,10.3519492,6.1,89.7,64.53,5.5,22.6,1.828738117,0.997,11.6,8.1279443,10,8.95,5.6,#N/A,#N/A,,,,33.5806,-112.2374,Maricopa,Ohio Valley ,459.739197,148702,151770,154566,157152,160231,163664,65314
Peoria (IL),IL,1600000US1759000,31.99744296,0.118523981,Yes,No,4.660237549,17,0,0,0.715299804,0.001186455,43,11.5,899.5789869,0,997.81,9.19,9.08,4.94062385,33.68959576,9.685188222,11.5286098,7.4,90.6,89.5,0.9,24.6,23.05309624,0.997,11.7,18.2561019,75.4,9.67,13.6,#N/A,#N/A,,,,40.6936,-89.589,Peoria,Southwest,128.7791308,113853,114315,114754,115466,115718,115847,45552
Philadelphia,PA,1600000US4260000,0.217676287,0.163559689,Yes,Yes,3.97435573,16,7,27,0.643931126,5.92E-05,55,18,4310.218746,5,3488.22,3.19,3.17,12.49264553,51.90659954,4.810066672,11.58248,6.9,86.9,91.7,0.2,30.8,15.21187403,0.995,15.9,26.796317,88.8,11.09,32.1,4.049072969,5.041760124,0.001131572,0.002064253,,39.9526,-75.1652,Philadelphia,Northeast,360.7872574,1504950,1514456,1525811,1536704,1546920,1555072,38253
Phoenix,AZ,1600000US0455000,11.40665915,0.108637798,Yes,No,3.145631481,20,3,18,0.442911343,0.000429552,44,19.3,1130.947448,2,2995.58,10.31,10.26,3.729408137,29.70531445,3.460554957,6.9171058,7.5,79.7,80.91,3.1,23.3,2.164079959,0.99,9.8,17.3651567,46.4,14.94,9.1,#N/A,#N/A,,,,33.4484,-112.074,Maricopa,Southwest,1338.884493,1450206,1455565,1462368,1473639,1490758,1514208,47326
Pittsburgh,PA,1600000US4261000,17.69458426,0.277081198,Yes,Yes,4.60448598,17,0,8,0.767448708,0.000476792,44,8.6,2045.909423,10,2789.63,11.22,10.79,10.39355752,41.80169686,15.18984859,12.6558867,5,91.1,95.72,0.3,26.9,28.07631292,0.995,13.9,18.7947278,88.4,8.49,24.4,#N/A,#N/A,,,,40.4406,-79.9959,Allegheny,Northeast,149.5315465,308003,307532,306430,306062,306045,305928,40715
Plano,TX,1600000US4858016,17.66200426,0.04638406,No,No,0,21,2,3,0.662946607,0.001540219,42,6.5,1479.583119,6,1001.55,15.33,17.34,5.031870958,46.98436805,4.959277331,6.1450686,5.8,87.1,81.67,0.5,18.5,11.24393791,0.998,6.7,4.33147,21.3,5.79,3.3,#N/A,#N/A,,,,33.0198,-96.6989,Collin,South,186.2990977,256099,260197,263122,266740,271166,275645,83793
Pomona,CA,1600000US0658072,10.45625624,0.065848589,No,No,2.765091863,15,0,53,0.476567142,0.000361114,48,32.5,2560.386208,0,2140.53,28.61,31.92,17.71856389,40.98288231,9.858124716,6.033826,7.4,78.5,92.59,4.3,34,4.691449927,0.887,8.6,15.9276754,69.4,19.3,7.6,#N/A,#N/A,,,,34.0551,-117.75,Los Angeles,West,59.26957406,148775,148946,149431,150006,151142,151753,49186
Ponce,PR,1600000US7263820,4.838223,0.662840514,No,No,5,2,13,13,0.77319,0,0,23.7,949.2820504,13,1610.247,8.83,10.06,25.17043626,0,7.656252474,12.8041112,5.8,94.6,92.19,0.1,21.3,41.26,0.199,17.8,44.7872848,67.4,11.14,21.7,10.86364428,11.26664661,0.000260187,0.004300573,,18.0111,-66.6141,Ponce,Southeast,133.0500244,140374,138195,135895,132106,129504,126302,16423
Port St. Lucie,FL,1600000US1258715,5.460001635,0.444351664,No,No,5,17,0,42,0.805030582,9.72E-05,41,12.8,559.7413688,12,2942.83,8.44,8.48,9.030580537,14.34094254,1.854069071,10.7276135,5.5,81.6,53.31,1.2,30,22.26264491,0.99,14.8,13.75019,10.3,12.46,3.9,2.47247957,3.358247992,0.005982912,0.009137262,,27.273,-80.3582,St. Lucie,Southeast,307.3812471,155004,159962,163748,166641,169260,172054,49813
Portland (ME),ME,1600000US2360545,0.329545153,0.13814082,Yes,No,5,20,2,4,1.027196936,0.000307564,42,7.5,1190.766013,0,4227.92,2.09,2.34,9.072151113,32.56736849,13.03955482,10.9299778,5.1,88.8,88.75,0.3,26.4,36.5060181,0.998,12.4,21.7835918,80.1,9.49,18.1,0.982102572,1.415250414,0.018186729,0.020748437,,43.6615,-70.2553,Cumberland,Northeast,55.83800619,66138,66240,66235,66227,66317,66490,46280
Portland (OR),OR,1600000US4159000,27.42151207,0.300030003,No,Yes,3.115121267,21,1,3,0.51549329,0.000415139,53,8.7,1625.75002,0,3386.16,16.75,17.68,12.97595711,43.7957905,3.474320735,8.981103,5.8,87.7,87.15,1.5,27.5,23.85413703,0.995,12.5,20.4578092,73,8.48,14.8,2.298082672,2.320624104,0.000935345,0.000952656,,45.5231,-112.6765,Multnomah,Northwest,376.5683483,566686,576543,585888,594687,602568,612206,55003
Providence,RI,1600000US4459000,1.602409332,0.376738556,No,No,1.27728685,14,0,3,0.28932899,0.000199854,47,25.8,3702.782002,0,2435.96,13.41,12.33,20.24497285,68.90384722,9.973136333,8.4513915,6.2,83.5,93.82,0.1,28.8,14.96832529,0.993,12.3,32.7190514,84.2,12.55,19.7,3.439668681,5.424222073,0.004343764,0.004457686,,41.824,-71.4128,Providence,Northeast,48.25560886,178286,178130,178185,178056,178562,178680,37501
Provo,UT,1600000US4962470,11.97431316,0.248359946,Yes,No,2.845078996,20,0,0,0.395837483,0.000717447,39,9.5,1018.88715,0,872.74,4.51,4.77,13.66298918,22.57495535,3.5285448,4.1715376,8.4,85.5,85.68,2.3,26.5,18.90626795,0.999,7.7,11.053344,52.1,11.18,4.4,#N/A,#N/A,,,,40.2338,-111.6585,Utah,Southwest,113.2068453,110201,111940,113105,114179,114804,115345,41291
Pueblo,CO,1600000US0862000,17.47512438,0.166888623,No,No,5,0,0,0,0.633865847,0.000111442,44,14.7,795.9775815,0,736.68,8.82,8.46,4.215793884,28.7354718,7.198837823,14.0858748,6.6,87.6,89.32,2.8,28.5,4.101377073,0.994,20.1,24.398252,76,13.01,12.1,#N/A,#N/A,,,,38.2544,-104.6091,Pueblo,Southwest,135.7739244,105957,106601,106944,107429,107706,108073,34550
Raleigh,NC,1600000US3755000,16.37494059,0.404838903,No,Yes,5,21,0,4,0.867432955,0.001533782,42,9.5,1168.746039,11,1489.75,4.76,4.34,8.873359136,21.31045932,3.770923888,6.9820269,6.6,86.2,68.98,1.3,23.9,47.52132573,0.998,8.2,10.1381731,29.9,8.89,6.1,#N/A,#N/A,,,,35.7796,-78.6382,Wake,Southeast,370.0718424,382729,395091,405007,414530,423287,432520,55398
Rancho Cucamonga,CA,1600000US0659451,11.19193384,0.093215996,No,No,5,0,0,53,0.561993008,0.000103591,47,9,1670.338186,0,2476.86,6.05,6.52,3.623777451,39.49282676,0.320031654,6.1784938,5.9,89.9,73.33,2.5,29.3,3.64617503,0.993,8.5,7.2212165,31.1,7.8,3.8,#N/A,#N/A,,,,34.1064,-117.5931,San Bernardino,West,102.8881465,160780,163151,165775,167743,170170,171858,77396
Reno,NV,1600000US3260600,9.36805335,0.07906196,Yes,Yes,5,17,0,0,0.616441107,0.000558596,43,14.3,863.2712974,0,1364.62,9.42,9.38,6.156946048,30.44137465,5.154573136,11.2826848,6.6,81.5,76.25,4.5,24.5,5.649438755,0.994,11.6,12.2026809,44,13.27,10.2,#N/A,#N/A,,,,39.5296,-119.8138,Washoe,West,271.2484484,220996,223558,226305,228442,231103,234161,47012
Richmond (CA),CA,1600000US0660620,10.49677557,0.046713733,No,Yes,3.353000047,15,0,12,0.758837619,0.000947022,50,22.9,1417.209069,0,2549.01,8.89,9.17,8.983914276,38.32148805,0.464696971,8.1329619,7.2,82.6,89.49,0.4,27.2,18.22780801,0.959,11.5,12.6930463,68.7,21.72,10.1,2.302108795,4.262200619,0.007636046,0.008778186,,37.9358,-122.3477,Contra Costa,Southeast,75.9217552,102264,103161,104225,105280,106469,107597,55102
Richmond (VA),VA,1600000US5167000,1.566611343,0.827298839,No,No,5,19,1,40,0.750391323,0.000116967,53,16.8,1334.759018,0,4836.61,17.06,16.12,9.901326798,29.49969123,9.240414532,11.1058883,6.3,83.1,93.12,0.5,28.9,34.8786343,0.995,15.4,17.9056223,82.2,11.63,16.8,0.779002035,2.864762439,0.00329365,0.003332799,,37.5407,-77.436,Richmond,West,160.1300287,201828,203165,205348,207878,211063,213735,40758
Riverside,CA,1600000US0662000,11.19193384,0.153997724,No,No,1.516719154,15,0,53,0.470217216,0.000116186,48,21.5,1504.275217,0,2506.91,7.84,7.78,16.06479703,33.1025419,2.747087739,7.3772557,6.8,82.8,85.89,2.2,29.4,4.097742885,0.984,9.5,12.3231836,61,15.16,6,#N/A,#N/A,,,,33.9533,-117.3962,Riverside,West,210.2906412,300553,303569,306128,309150,313041,316335,57196
Rochester (MN),MN,1600000US2754880,17.29124369,0.309565728,No,No,5,21,0,4,0.786451869,0.003496127,41,6.5,780.3161066,0,1320.76,14.53,14.76,14.34877161,23.5581928,19.22466561,9.5796856,7.5,93.9,77.71,2.3,22.4,13.13001771,0.993,9.5,9.1763304,48.1,8.36,7.6,#N/A,#N/A,,,,44.0121,-92.4802,Olmsted,Northeast,141.3209327,104201,105576,106903,108179,109252,110275,64554
Rochester (NY),NY,1600000US3663000,17.24748113,0.373115344,No,No,0.474428195,18,0,17,0.611524058,0.001365172,44,19.5,2224.399731,0,1099.13,11.76,11.48,8.746149546,44.72402101,7.867327813,8.7764313,7.1,90.1,97.52,0.3,35.1,24.08000453,0.992,17.3,36.1075798,91.5,10.75,25.8,#N/A,#N/A,,,,43.161,-77.6109,Monroe,Upper Midwest,94.74241391,211977,211457,210967,210624,210461,210745,30960
Rockford,IL,1600000US1765000,33.49645359,0.063817664,No,No,0.345779545,16,0,16,0.702360442,0.000499244,41,16.9,943.9967765,0,775.35,0.06,0.06,11.844484,36.72289623,5.702574476,12.3499377,7.5,87.6,93.28,0.7,28.6,14.59903065,0.997,14.7,25.2463328,78.1,12.7,12.1,#N/A,#N/A,,,,42.2711,-89.094,Winnebago,Ohio Valley ,159.1986368,154517,153509,152948,152138,151290,150283,38716
Roseville,CA,1600000US0662938,7.339846128,0.344624833,No,Yes,4.906811846,0,0,14,0.873199089,0.000439554,41,5.5,1361.31157,0,5275.49,23.07,22.36,0.010356724,40.4952846,5.287864035,11.5453198,6.3,91.9,65.65,1.4,25,8.372302055,0.995,9.7,6.1872946,23.2,7.13,4.6,#N/A,#N/A,,,,38.7521,-121.288,Placer,West,92.79800654,113820,116613,119537,122039,124250,126327,75867
Sacramento,CA,1600000US0664000,7.339846128,0.085996122,No,No,2.294208136,0,0,14,0.570634306,0.00012689,48,16.6,1873.768208,0,2782.48,8.22,8.68,25.01511286,43.3656696,4.534236713,9.4076381,7,86.7,83.42,1.7,28,9.492967427,0.994,13,15.0618739,60.1,11.14,10.7,#N/A,#N/A,,,,38.5816,-121.4944,Sacramento,West,256.4703563,459511,463537,467467,471477,476075,480566,50739
Salem,OR,1600000US4164900,10.36320989,0.343657333,No,Yes,0.185220496,19,0,3,0.31928252,7.42E-05,45,13.1,1275.725199,0,1372.36,6.02,5.87,9.235553772,38.22553521,2.381130943,10.3223683,7.2,86.6,85.21,5.2,23.6,15.53069716,0.997,14.5,25.3702645,56.9,14.67,8.8,#N/A,#N/A,,,,44.9429,-123.0351,Marion,Northwest,125.4251308,151809,153481,154835,156937,157967,160008,47191
Salinas,CA,1600000US0664224,25.40946315,3.682620309,No,Yes,1.27728685,0,1,12,0.365837853,0.000172719,49,40.5,2607.718509,9,387.22,2.2,1.96,5.740433619,43.25329302,2.838458865,6.096547,9.2,78.7,90.32,3.5,25.7,2.658682993,0.98,7.6,11.2638169,58.8,33.66,5.6,#N/A,#N/A,,,,36.6777,-121.6555,Monterey,West,59.57928337,147074,148780,150634,152340,154077,155366,49840
Salt Lake City,UT,1600000US4967000,12.72197593,17.61747006,No,No,4.530804084,21,1,0,0.525905189,0.000546824,41,12.6,665.6023032,6,1691.17,9.84,9.6,1.588629245,28.06487924,7.919068172,9.6999867,7.2,82.4,92.64,0.5,23,12.38579178,0.997,10.7,12.094783,78.8,10.14,12.1,#N/A,#N/A,,,,40.7608,-111.891,Salt Lake,Southwest,286.4758717,184488,186009,186740,188141,189267,190679,47243
San Antonio,TX,1600000US4865000,13.19363105,0.053832044,Yes,Yes,5,21,7,29,0.514537186,9.75E-05,46,18.6,1151.066722,13,3538.4,10.6,11.96,10.00114156,29.07096453,5.259990056,8.3508478,7.3,80.6,79.6,1.6,22.8,29.11694194,0.994,14,17.0012995,49.2,13.39,9,#N/A,#N/A,,,,29.4241,-98.4936,Bexar,South,1228.322367,1290196,1313155,1335287,1359033,1385438,1413881,46744
San Bernardino,CA,1600000US0665000,11.19193384,0.180411482,Yes,Yes,4.112264778,0,0,53,0.551167119,0.000103591,47,31.8,1391.132874,0,1026.44,5.32,5.9,13.97587629,33.44990446,3.596248692,7.5026051,8.4,79.1,93.46,6.4,36.7,2.976025821,0.965,13.1,28.9822855,67.5,18.88,11.8,#N/A,#N/A,,,,34.1083,-117.2898,San Bernardino,West,153.9119692,209174,210100,210624,211528,213044,214112,37047
San Buenaventura,CA,1600000US0665042,30.81294069,0.785961108,No,Yes,5,0,0,53,0.63438151,0.000679088,44,10.9,1935.127211,3,NULL,6.91,5.8,6.564856845,43.35909974,4.270011662,12.1865022,6.7,88.1,91.61,5.1,24.8,5.018740845,0.973,11,7.8383582,70.5,10.76,6.5,0.128559491,0.18549298,0.004463336,0.006818172,,34.2746,-119.229,Ventura,West,56.27485334,105211,105809,106273,107551,108449,108899,66995
San Diego,CA,1600000US0666000,11.9488786,1.012821263,No,No,3.686417073,0,4,7,0.574847277,0.001694023,45,12.7,1595.26207,0,1927.35,73.52,79.42,6.652026398,35.80810976,3.157838227,8.0269475,6.4,85.9,88.4,1.2,26.1,5.458818036,0.943,8.9,7.2547213,58.7,8.73,7.2,0.494414215,0.787621039,0.00075884,0.004778569,,32.7157,-117.1611,San Diego,West,852.3934877,1282800,1296437,1308619,1322838,1341510,1359791,66116
San Francisco,CA,1600000US0667000,10.49677557,0.244145013,No,Yes,5,20,6,12,0.559041888,0.001536699,55,13,6955.040792,0,8499.72,82.7,83.61,0.16191319,61.22999226,5.126295995,10.2347383,4.5,91.5,92.21,0.2,20.8,12.93611158,0.956,10.5,6.3506441,82.5,6.85,30.5,0.322445208,0.544267528,0.000455266,0.000663334,,37.7749,-122.4194,San Francisco,West,120.8854161,789172,797983,807755,817501,829072,840763,81294
San Jose,CA,1600000US0668000,26.12850839,0.131905438,No,Yes,4.283326936,20,3,12,0.504133434,0.007799699,48,17.3,2188.039208,0,3631.49,17.22,18.08,64.36537645,39.31848581,1.25691905,6.6405343,6.8,89.1,88.79,3.3,26.3,10.02539672,0.986,8.3,8.1709339,64.9,11.31,5.4,0.328917131,0.506064784,0.001747751,0.002148785,,37.3382,-121.8863,Santa Clara,West,457.4232474,925300,939688,954379,968903,986320,1000860,84647
San Juan,PR,1600000US7276770,0.950385,0.295158051,No,Yes,5,2,13,13,0.59146,1.88E-05,0,22,2664.383741,7,1477.744,9.21,8.83,15.21218882,0,10.94995624,14.0396126,5.3,89.1,94.18,0.4,21.9,25.43,0.231,19.1,28.8060162,78.1,13.52,26.8,3.89064584,9.418472319,0.000779552,0.011915796,,18.4655,-66.1057,San Juan,Southeast,134.2250347,392157,386070,380167,374129,366726,357627,21125
Santa Ana,CA,1600000US0669000,10.45625624,0.19489986,No,No,5,0,0,53,0.35164403,0.000914935,45,45.2,4687.597927,8,1070.72,9.24,9.1,29.94405288,64.427433,1.542302291,5.2770978,8.1,72.5,96.57,5.4,31.3,3.480645406,0.837,8.9,18.6283559,80.7,25.46,6.9,#N/A,#N/A,,,,33.7455,-117.8677,Orange,West,71.09568807,325216,325517,326608,328719,331266,333268,52253
Santa Clara,CA,1600000US0669084,26.12850839,0.91369956,No,Yes,4.66866597,0,2,12,0.455157103,0.007799699,48,8.1,2571.623049,0,4015,66.34,65.56,84.52922185,62.08282371,2.69415196,6.4973638,7.6,91.9,87.43,0.2,22.8,7.828935447,0.986,7.2,3.9716345,69.6,6.04,5.3,0.159012639,0.273534694,0.000393849,0.000542805,,37.3541,-121.9552,Santa Clara,West,47.19743045,112466,114482,116301,117817,119525,121374,98914
Santa Clarita,CA,1600000US0669088,10.45625624,0.151074217,No,Yes,5,0,0,53,0.491578947,0.000361114,48,11,1322.24014,0,238.39,10.2,10.73,101.6959823,26.02191074,1.322589608,7.7354128,5.9,88.6,86.58,3.8,24.1,7.79155282,0.99,9.8,5.1327493,38.6,9.26,4.4,#N/A,#N/A,,,,34.3917,-118.5426,Los Angeles,West,136.0947944,172253,173993,175922,177366,179030,179950,83554
Santa Rosa,CA,1600000US0670098,18.9044987,0.083262997,No,No,2.723934827,0,0,12,0.691267956,0.000470633,49,14.3,1618.316452,0,2697.55,36.82,36.24,11.40749469,32.51464677,2.969790662,12.8198727,6,87.5,85.5,3.4,26.7,17.77849887,0.994,12.3,9.5041193,53.9,15.05,6.3,#N/A,#N/A,,,,38.4404,-122.7141,Sonoma,West,106.3240751,162647,164976,167207,169005,170782,172066,61050
Savannah,GA,1600000US1369000,22.46623605,2.090470446,No,Yes,1.937889288,19,0,1,0.422958628,0.000100254,45,14,506.0282883,1,1362.63,16.25,16.41,37.04320084,15.02155597,8.634261365,10.8129096,6.7,79.4,85.93,1.8,30.6,39.35766286,0.996,13.6,17.3586121,67.7,13.81,12.9,0,33.6799166,0.310262916,0.332886253,,32.0835,-81.0998,Chatham,Southeast,282.432827,134348,135780,137690,139620,141298,142919,36466
Scottsdale,AZ,1600000US0465000,11.40665915,0.22925188,No,No,1.729586753,21,3,18,0.650438403,0.000429552,44,3.8,477.3979699,0,2867.35,1.18,1.28,9.546355428,17.04473258,3.969736802,12.6103257,4.2,92,82.47,1,20.6,2.174881183,0.997,9.9,4.4540342,32.7,3.44,4.2,#N/A,#N/A,,,,33.4942,-111.9261,Maricopa,Southwest,476.4808699,218770,219311,219867,221283,223519,227471,73288
Seattle,WA,1600000US5363000,14.90240839,0.122119023,Yes,No,4.60448598,21,4,5,0.669829245,0.002031034,49,6.6,2500.758695,13,5029.53,27,27.43,1.311914498,44.61820853,5.692041708,9.2848739,5.2,91.2,82.3,0.4,20.1,16.09859066,0.989,9.4,10.8898875,66.5,5.72,16.4,13.22936463,13.32369601,0.009662421,0.009912005,,47.6062,-122.3321,King,Northwest,261.1275535,595240,603174,612916,624681,637850,653017,70594
Shreveport,LA,1600000US2270000,11.10429448,0.173063299,No,No,2.719952662,16,1,6,0.642261372,6.28E-05,44,14.5,637.8669949,10,2948.23,11.55,11.1,28.56635536,27.04257503,13.38899583,11.1406452,7.5,83.4,89.3,2.9,25.8,37.15402516,0.997,14.1,18.9664516,70.6,12.91,11.8,#N/A,#N/A,,,,32.5252,-93.7503,Caddo Parish,South,313.568505,198477,198886,200099,200715,200692,200015,38583
Simi Valley,CA,1600000US0672016,30.81294069,0.158958355,No,No,0,0,1,53,0.556754077,0.000679088,44,9.5,1157.160284,12,648.4,11.56,12.93,9.827550556,22.68927288,1.141923666,8.3793958,5.7,90.1,86.22,1.8,27.9,7.183700328,0.98,9.5,4.9342419,53.1,9.09,3.6,#N/A,#N/A,,,,34.2694,-118.7815,Ventura,West,108.97626,121662,122864,123942,124803,125699,126103,90210
Sioux Falls,SD,1600000US4659020,0,0.257900134,No,Yes,5,0,0,6,0.713469417,0.000111768,38,9.1,867.7488304,0,490.18,9.39,8.42,24.11802634,27.73787961,7.003730049,8.8559309,8.1,90.2,74.27,4.1,17.8,7.162922066,0.992,10.3,11.5429217,46.6,10.75,6,#N/A,#N/A,,,,43.5446,-96.7311,Minnehaha,Northern Rockies & Plains,189.3877517,148848,151727,154526,157675,160964,164341,52494
South Bend,IN,1600000US1871000,22.76958327,0.150414192,No,No,3.032913698,0,0,7,0.763020798,0.000370445,40,16.5,935.7536207,0,1654.67,3.8,3.87,8.153115509,37.54131614,4.423898996,11.5772663,8,83.6,94.41,1,26.5,14.12404368,0.998,15.1,21.9301359,82.2,11.82,13.4,#N/A,#N/A,,,,41.6764,-86.252,St. Joseph,Ohio Valley ,107.4962445,102073,101708,101282,100863,100422,100590,34523
Spokane,WA,1600000US5367000,8.888985482,0.09205772,No,No,4.594862664,19,0,0,0.674117279,0.000216292,42,8.4,1338.508446,0,1093.88,15.93,16.6,3.90604501,38.86728425,6.545005814,11.8256622,6.9,88.4,89.97,1.5,27.1,10.53657689,0.997,15.8,24.2801548,73.4,10.52,11,#N/A,#N/A,,,,47.6588,-117.426,Spokane,Northwest,157.410288,206541,208040,208701,209478,210142,210695,42386
